rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year,genres,actors,directors,distributor,importer
1,1,1,OLD,20124039,타워,2012-12-25,13498149500,32.3,1215940500,9.9,25900690500,1845118,167107,10.0,3539704,638,21979,20130106,2013,드라마,"설경구,손예진,김상경,차인표,조민아",김지훈,(주)씨제이이엔엠,
2,2,-1,OLD,20128274,레미제라블,2012-12-19,9204263500,22.0,-3152223500,-25.5,30841422500,1252627,-437667,-25.9,4208471,623,17026,20130106,2013,드라마,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터",톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
3,3,0,OLD,20124399,반창꼬,2012-12-19,4573960068,10.9,-1878883151,-29.1,16095115287,624922,-268818,-30.1,2221812,426,12377,20130106,2013,멜로/로맨스,"고수,한효주,마동석,김성오,쥬니",정기훈,(주)넥스트엔터테인먼트월드(NEW),
4,4,30,OLD,20128386,라이프 오브 파이,2013-01-01,5629966500,13.5,5619448500,53427.0,5688041500,605711,604872,72094.4,610801,392,10726,20130106,2013,"어드벤처,드라마","수라즈 샤르마,이르판 칸,라프 스팰",이안,주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주)
5,5,-1,OLD,20125048,호빗: 뜻밖의 여정,2012-12-13,1950091150,4.7,-2620304850,-57.3,23084420716,242809,-302245,-55.5,2775993,360,5570,20130106,2013,"어드벤처,판타지","마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,크리스토퍼 리",피터 잭슨,워너브러더스 코리아(주),워너브러더스 코리아(주)
6,6,0,OLD,20129388,주먹왕 랄프,2012-12-19,1651099500,3.9,-400949000,-19.5,5796066500,231996,-48687,-17.3,802124,299,3902,20130106,2013,애니메이션,"존 C. 라일리,잭 맥브레이어,제인 린치",리치 무어,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
7,7,1,OLD,20126388,잠베지아: 신비한 나무섬의 비밀,2012-12-25,1289850000,3.1,-45365500,-3.4,2797638000,185607,1228,0.7,390750,255,3495,20130106,2013,애니메이션,"사무엘 L. 잭슨,아비게일 브레스린,제프 골드블럼,짐 커밍스,유준상",웨인 쏜리,롯데쇼핑㈜롯데엔터테인먼트,블루미지
8,8,-3,OLD,20128687,가문의 영광5 - 가문의 귀환,2012-12-19,1250552500,3.0,-1851754500,-59.7,8138786500,171938,-260476,-60.2,1133197,321,5764,20130106,2013,코미디,"정준호,김민정,유동근,성동일,박근형",정용기,롯데쇼핑㈜롯데엔터테인먼트,
9,9,-2,OLD,20122523,니코: 산타비행단의 모험,2012-12-25,1117320500,2.7,-302083500,-21.3,2554320500,164593,-40208,-19.6,371645,276,3229,20130106,2013,"애니메이션,어드벤처,가족","카리 히타라티,카리 케토넨,엘레나 크니틸라,주원,김원효","캐리 주스넌,요르겐 레르담",씨너스엔터테인먼트(주),데이지엔터테인먼트
10,10,-1,OLD,20124936,나의 PS 파트너 ,2012-12-06,424276000,1.0,-994990000,-70.1,13828088116,55296,-127600,-69.8,1822593,145,1575,20130106,2013,"멜로/로맨스,코미디","지성,김아중,신소율,강경준,김성오",변성현,(주)씨제이이엔엠,
