year,region,id,title,release_date,popularity,vote_count,vote_average,original_language,genre_ids,rank,genres
2014,GLOBAL,91314,트랜스포머: 사라진 시대,2014-06-25,14.6598,8444,5.9,en,"[878, 28, 12]",1,"SF, 액션, 모험"
2014,GLOBAL,122917,호빗: 다섯 군대 전투,2014-12-10,16.4497,14788,7.3,en,"[28, 12, 14]",2,"액션, 모험, 판타지"
2014,GLOBAL,118340,가디언즈 오브 갤럭시,2014-07-30,9.0924,28853,7.904,en,"[28, 878, 12]",3,"액션, SF, 모험"
2014,GLOBAL,102651,말레피센트,2014-05-28,12.3898,13404,7.089,en,"[14, 12, 28, 10751, 10749]",4,"판타지, 모험, 액션, 가족, 로맨스"
2014,GLOBAL,131631,헝거게임: 모킹제이,2014-11-19,12.8559,16264,6.814,en,"[878, 12, 53]",5,"SF, 모험, 스릴러"
2014,GLOBAL,127585,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-15,11.4771,15748,7.5,en,"[28, 12, 878]",6,"액션, 모험, SF"
2014,GLOBAL,157336,인터스텔라,2014-11-05,36.435,37808,8.5,en,"[12, 18, 878]",7,"모험, 드라마, SF"
2014,GLOBAL,100402,캡틴 아메리카: 윈터 솔져,2014-03-20,7.1944,19391,7.654,en,"[28, 12, 878]",8,"액션, 모험, SF"
2014,GLOBAL,119450,혹성탈출: 반격의 서막,2014-07-08,10.1837,11810,7.333,en,"[878, 28, 18, 53]",9,"SF, 액션, 드라마, 스릴러"
2014,GLOBAL,102382,어메이징 스파이더맨 2,2014-04-16,16.4807,13722,6.522,en,"[28, 12, 878]",10,"액션, 모험, SF"
2014,GLOBAL,177572,빅 히어로,2014-10-24,16.3319,16073,7.7,en,"[12, 10751, 16, 28, 35]",11,"모험, 가족, 애니메이션, 액션, 코미디"
2014,GLOBAL,82702,드래곤 길들이기 2,2014-06-05,13.559,10031,7.675,en,"[14, 28, 12, 16, 35, 10751]",12,"판타지, 액션, 모험, 애니메이션, 코미디, 가족"
2014,GLOBAL,190859,아메리칸 스나이퍼,2014-12-25,9.6183,13254,7.418,en,"[10752, 28]",13,"전쟁, 액션"
2014,GLOBAL,124905,고질라,2014-05-14,13.3861,9420,6.3,en,"[28, 18, 878]",14,"액션, 드라마, SF"
2014,GLOBAL,172385,리오 2,2014-03-19,6.5933,3616,6.5,en,"[16, 12, 35, 10751]",15,"애니메이션, 모험, 코미디, 가족"
2014,GLOBAL,98566,닌자터틀,2014-08-07,13.1316,6968,5.9,en,"[878, 28, 12, 35]",16,"SF, 액션, 모험, 코미디"
2014,GLOBAL,137106,레고 무비,2014-02-06,8.8699,8125,7.42,en,"[16, 10751, 12, 35, 14]",17,"애니메이션, 가족, 모험, 코미디, 판타지"
2014,GLOBAL,240832,루시,2014-07-25,13.2238,16539,6.469,en,"[28, 878]",18,"액션, SF"
2014,GLOBAL,270946,마다가스카의 펭귄,2014-11-22,12.0431,4309,6.5,en,"[10751, 16, 12, 35]",19,"가족, 애니메이션, 모험, 코미디"
2014,GLOBAL,210577,나를 찾아줘,2014-10-01,15.6921,19248,7.9,en,"[9648, 53, 18]",20,"미스터리, 스릴러, 드라마"
2014,GLOBAL,137113,엣지 오브 투모로우,2014-05-27,11.0843,14407,7.632,en,"[28, 878]",21,"액션, SF"
2014,GLOBAL,181533,박물관이 살아있다: 비밀의 무덤,2014-12-17,9.6385,6026,6.215,en,"[12, 35, 14, 10751]",22,"모험, 코미디, 판타지, 가족"
2014,GLOBAL,86834,노아,2014-03-07,9.4744,6365,5.7,en,"[18, 12]",23,"드라마, 모험"
2014,GLOBAL,198663,메이즈 러너,2014-09-10,25.1975,17541,7.192,en,"[28, 9648, 878, 53]",24,"액션, 미스터리, SF, 스릴러"
2014,GLOBAL,53182,300: 제국의 부활,2014-03-05,9.7153,6705,6.114,en,"[28, 18, 10752]",25,"액션, 드라마, 전쟁"
2014,GLOBAL,187017,22 점프 스트리트,2014-06-05,7.0789,8181,6.83,en,"[80, 35, 28]",26,"범죄, 코미디, 액션"
2014,GLOBAL,116149,패딩턴,2014-11-24,5.3372,3980,7.113,en,"[35, 12, 10751]",27,"코미디, 모험, 가족"
2014,GLOBAL,260346,테이큰 3,2014-12-16,12.1674,5933,6.264,en,"[53, 28]",28,"스릴러, 액션"
2014,GLOBAL,222935,"안녕, 헤이즐",2014-05-16,6.3455,11343,7.595,en,"[10749, 18]",29,"로맨스, 드라마"
2014,GLOBAL,157350,다이버전트,2014-03-14,9.7255,13094,6.91,en,"[28, 12, 878]",30,"액션, 모험, SF"
2014,GLOBAL,82703,천재강아지 미스터 피바디,2014-02-07,3.7974,2441,6.7,en,"[16, 12, 10751]",31,"애니메이션, 모험, 가족"
2014,GLOBAL,195589,나쁜 이웃들,2014-05-08,7.2164,7062,6.186,en,[35],32,코미디
2014,GLOBAL,147441,엑소더스: 신들과 왕들,2014-12-03,8.692,4683,5.879,en,"[12, 18, 28]",33,"모험, 드라마, 액션"
2014,GLOBAL,250546,애나벨,2014-10-01,20.2144,6325,5.783,en,[27],34,공포
2014,GLOBAL,184315,허큘리스,2014-07-23,10.3609,4183,5.8,en,"[28, 12]",35,"액션, 모험"
2014,GLOBAL,97020,로보캅,2014-01-30,9.7499,5637,5.879,en,"[878, 28, 80]",36,"SF, 액션, 범죄"
2014,GLOBAL,205596,이미테이션 게임,2014-11-14,11.5103,17527,7.992,en,"[36, 18, 53, 10752]",37,"역사, 드라마, 스릴러, 전쟁"
2014,GLOBAL,225574,논스톱,2014-02-26,5.0962,5507,6.811,en,"[28, 53, 9648]",38,"액션, 스릴러, 미스터리"
2014,GLOBAL,49017,드라큘라: 전설의 시작,2014-10-01,5.4733,6282,6.4,en,"[27, 28, 14]",39,"공포, 액션, 판타지"
2014,GLOBAL,138103,익스펜더블 3,2014-08-07,8.9433,5140,6.208,en,"[28, 12, 53]",40,"액션, 모험, 스릴러"
2014,GLOBAL,224141,숲속으로,2014-12-24,4.0284,4314,5.8,en,"[14, 35]",41,"판타지, 코미디"
2014,GLOBAL,228150,퓨리,2014-10-15,15.5962,12472,7.541,en,"[10752, 18, 28]",42,"전쟁, 드라마, 액션"
2014,GLOBAL,136797,니드 포 스피드,2014-03-12,8.7473,4511,6.425,en,"[28, 80, 18, 53]",43,"액션, 범죄, 드라마, 스릴러"
2014,GLOBAL,193610,아더 우먼,2014-04-16,4.8026,3626,6.431,en,"[35, 10749]",44,"코미디, 로맨스"
2014,GLOBAL,156022,더 이퀄라이저,2014-09-24,17.3304,9480,7.281,en,"[53, 28, 80]",45,"스릴러, 액션, 범죄"
2014,GLOBAL,284298,心花路放,2014-09-26,2.2548,74,6.122,zh,"[35, 10749]",46,"코미디, 로맨스"
2014,GLOBAL,119892,몽키킹: 손오공의 탄생,2014-01-09,3.7194,218,5.5,zh,"[28, 12, 10751, 14]",47,"액션, 모험, 가족, 판타지"
2014,GLOBAL,262391,컬러풀 웨딩즈,2014-04-16,3.1712,3456,6.663,fr,[35],48,코미디
2014,GLOBAL,120467,그랜드 부다페스트 호텔,2014-02-26,8.2536,15400,8.036,en,"[35, 18]",49,"코미디, 드라마"
2014,GLOBAL,100042,덤 앤 더머 투,2014-11-12,7.5791,3274,5.6,en,[35],50,코미디
2014,GLOBAL,227306,언브로큰,2014-12-25,6.177,4217,7.428,en,"[18, 10752]",51,"드라마, 전쟁"
2014,GLOBAL,216282,인투 더 스톰,2014-08-06,3.3934,2085,6.1,en,"[28, 53]",52,"액션, 스릴러"
2014,GLOBAL,152760,모뉴먼츠 맨: 세기의 작전,2014-01-24,5.0083,3678,6.065,en,"[10752, 18, 36, 28]",53,"전쟁, 드라마, 역사, 액션"
2014,GLOBAL,168530,라이드 어롱,2014-01-07,4.2314,2318,6.264,en,"[28, 35]",54,"액션, 코미디"
2014,GLOBAL,218836,비행기 2: 소방구조대,2014-07-17,4.5309,880,6.2,en,"[16, 35, 12, 10751]",55,"애니메이션, 코미디, 모험, 가족"
2014,GLOBAL,294992,타이거 마운틴,2014-12-24,4.253,198,6.591,zh,"[53, 10752, 12]",56,"스릴러, 전쟁, 모험"
2014,GLOBAL,282631,명량,2014-07-30,3.1818,301,7.0,ko,"[10752, 28, 18, 36]",57,"전쟁, 액션, 드라마, 역사"
2014,GLOBAL,196867,애니 2015,2014-12-18,7.5158,1318,6.234,en,"[35, 18, 10751]",58,"코미디, 드라마, 가족"
2014,GLOBAL,193893,렛츠 비 캅스,2014-08-13,8.9627,2861,6.46,en,[35],59,코미디
2014,GLOBAL,137094,잭 라이언: 코드네임 쉐도우,2014-01-15,4.0274,2943,6.117,en,"[28, 18, 53]",60,"액션, 드라마, 스릴러"
